anon_id,anon_ip,collection_order,gateway_port,active_target,preferred_url,scanner_input_target,product_confidence,passive_family,passive_family_confidence,top_version,top_version_confidence,top_version_exact,mdns_version,mdns_service_types,mdns_product_markers,mdns_instance_names,country,org,shodan_module,shodan_port,honeypot_probable,proxy_detected,vulnerability_count,public_ip
gw-0039,192.0.2.39,39,18789,192.0.2.39:18789,https://192.0.2.39:18789,192.0.2.39:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0039-instance-1,US,provider-0028,mdns,5353,False,False,0,192.0.2.39
gw-0040,192.0.2.40,40,18789,192.0.2.40:18789,https://192.0.2.40:18789,192.0.2.40:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0040-instance-1,US,provider-0028,mdns,5353,False,False,0,192.0.2.40
gw-0041,192.0.2.41,41,18789,192.0.2.41:18789,https://192.0.2.41:18789,192.0.2.41:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0041-instance-1,US,provider-0029,mdns,5353,False,False,0,192.0.2.41
gw-0042,192.0.2.42,42,18789,192.0.2.42:18789,https://192.0.2.42:18789,192.0.2.42:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0042-instance-1,US,provider-0030,mdns,5353,False,False,0,192.0.2.42
gw-0043,192.0.2.43,43,18789,192.0.2.43:18789,https://192.0.2.43:18789,192.0.2.43:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0043-instance-1,JP,provider-0031,mdns,5353,False,False,0,192.0.2.43
gw-0044,192.0.2.44,44,18789,192.0.2.44:18789,https://192.0.2.44:18789,192.0.2.44:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0044-instance-1,JP,provider-0031,mdns,5353,False,False,0,192.0.2.44
gw-0045,192.0.2.45,45,18789,192.0.2.45:18789,https://192.0.2.45:18789,192.0.2.45:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0045-instance-1,US,provider-0032,mdns,5353,False,False,0,192.0.2.45
gw-0046,192.0.2.46,46,18789,192.0.2.46:18789,https://192.0.2.46:18789,192.0.2.46:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0046-instance-1,RU,provider-0033,mdns,5353,False,False,0,192.0.2.46
gw-0047,192.0.2.47,47,15960,192.0.2.47:15960,http://192.0.2.47:15960,192.0.2.47:15960,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0047-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.47
gw-0048,192.0.2.48,48,18789,192.0.2.48:18789,https://192.0.2.48:18789,192.0.2.48:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0048-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.48
gw-0049,192.0.2.49,49,18789,192.0.2.49:18789,https://192.0.2.49:18789,192.0.2.49:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0049-instance-1,CN,provider-0034,mdns,5353,False,False,0,192.0.2.49
gw-0050,192.0.2.50,50,18789,192.0.2.50:18789,https://192.0.2.50:18789,192.0.2.50:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0050-instance-1,KR,provider-0035,mdns,5353,False,False,0,192.0.2.50
gw-0051,192.0.2.51,51,18789,192.0.2.51:18789,https://192.0.2.51:18789,192.0.2.51:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,clawdbot;openclaw;openclaw-gw,gw-0051-instance-1,DE,provider-0036,mdns,5353,False,False,0,192.0.2.51
gw-0052,192.0.2.52,52,18789,192.0.2.52:18789,https://192.0.2.52:18789,192.0.2.52:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0052-instance-1,CN,provider-0037,mdns,5353,False,False,0,192.0.2.52
gw-0053,192.0.2.53,53,18789,192.0.2.53:18789,https://192.0.2.53:18789,192.0.2.53:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0053-instance-1,CN,provider-0038,mdns,5353,False,False,0,192.0.2.53
gw-0054,192.0.2.54,54,18789,192.0.2.54:18789,https://192.0.2.54:18789,192.0.2.54:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0054-instance-1,VN,provider-0039,mdns,5353,False,False,0,192.0.2.54
gw-0055,192.0.2.55,55,18789,192.0.2.55:18789,https://192.0.2.55:18789,192.0.2.55:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0055-instance-1,CN,provider-0040,mdns,5353,False,False,0,192.0.2.55
gw-0056,192.0.2.56,56,33447,192.0.2.56:33447,http://192.0.2.56:33447,192.0.2.56:33447,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0056-instance-1,CN,provider-0002,mdns,5353,False,False,0,192.0.2.56
gw-0057,192.0.2.57,57,18789,192.0.2.57:18789,https://192.0.2.57:18789,192.0.2.57:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0057-instance-1,CN,provider-0002,mdns,5353,False,False,0,192.0.2.57
gw-0058,192.0.2.58,58,18789,192.0.2.58:18789,https://192.0.2.58:18789,192.0.2.58:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0058-instance-1,SG,provider-0041,mdns,5353,False,False,0,192.0.2.58
gw-0059,192.0.2.59,59,17827,192.0.2.59:17827,http://192.0.2.59:17827,192.0.2.59:17827,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0059-instance-1,HK,provider-0025,mdns,5353,False,False,0,192.0.2.59
gw-0060,192.0.2.60,60,18789,192.0.2.60:18789,https://192.0.2.60:18789,192.0.2.60:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0060-instance-1,CN,provider-0034,mdns,5353,False,False,0,192.0.2.60
gw-0061,192.0.2.61,61,18789,192.0.2.61:18789,https://192.0.2.61:18789,192.0.2.61:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0061-instance-1,CN,provider-0034,mdns,5353,False,False,0,192.0.2.61
gw-0062,192.0.2.62,62,18789,192.0.2.62:18789,https://192.0.2.62:18789,192.0.2.62:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0062-instance-1,CN,provider-0042,mdns,5353,False,False,0,192.0.2.62
gw-0063,192.0.2.63,63,10711,192.0.2.63:10711,http://192.0.2.63:10711,192.0.2.63:10711,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0063-instance-1,CN,provider-0043,mdns,5353,False,False,0,192.0.2.63
gw-0064,192.0.2.64,64,18789,192.0.2.64:18789,https://192.0.2.64:18789,192.0.2.64:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0064-instance-1,TH,provider-0044,mdns,5353,False,False,0,192.0.2.64
gw-0065,192.0.2.65,65,14290,192.0.2.65:14290,http://192.0.2.65:14290,192.0.2.65:14290,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0065-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.65
gw-0066,192.0.2.66,66,27830,192.0.2.66:27830,http://192.0.2.66:27830,192.0.2.66:27830,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0066-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.66
gw-0067,192.0.2.67,67,17827,192.0.2.67:17827,http://192.0.2.67:17827,192.0.2.67:17827,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0067-instance-1,HK,provider-0045,mdns,5353,False,False,0,192.0.2.67
gw-0068,192.0.2.68,68,17971,192.0.2.68:17971,http://192.0.2.68:17971,192.0.2.68:17971,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0068-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.68
gw-0069,192.0.2.69,69,33411,192.0.2.69:33411,http://192.0.2.69:33411,192.0.2.69:33411,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0069-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.69
