anon_id,anon_ip,collection_order,gateway_port,active_target,preferred_url,scanner_input_target,product_confidence,passive_family,passive_family_confidence,top_version,top_version_confidence,top_version_exact,mdns_version,mdns_service_types,mdns_product_markers,mdns_instance_names,country,org,shodan_module,shodan_port,honeypot_probable,proxy_detected,vulnerability_count,public_ip,active_rank,active_priority_score,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0274,198.51.100.20,274,18789,198.51.100.20:18789,https://198.51.100.20:18789,198.51.100.20:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0274-instance-1,RU,provider-0119,mdns,5353,False,False,0,198.51.100.20,,,,,,,False,,,,,,,,,,,,,
gw-0275,198.51.100.21,275,18789,198.51.100.21:18789,https://198.51.100.21:18789,198.51.100.21:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0275-instance-1,RU,provider-0119,mdns,5353,False,False,0,198.51.100.21,,,,,,,False,,,,,,,,,,,,,
gw-0276,198.51.100.22,276,18789,198.51.100.22:18789,https://198.51.100.22:18789,198.51.100.22:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0276-instance-1,FI,provider-0129,mdns,5353,False,False,0,198.51.100.22,,,,,,,False,,,,,,,,,,,,,
gw-0277,198.51.100.23,277,18789,198.51.100.23:18789,https://198.51.100.23:18789,198.51.100.23:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0277-instance-1,FR,provider-0058,mdns,5353,False,False,0,198.51.100.23,,,,,,,False,,,,,,,,,,,,,
gw-0278,198.51.100.24,278,18789,198.51.100.24:18789,https://198.51.100.24:18789,198.51.100.24:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0278-instance-1,FI,provider-0036,mdns,5353,False,False,0,198.51.100.24,,,,,,,False,,,,,,,,,,,,,
gw-0279,198.51.100.25,279,18789,198.51.100.25:18789,https://198.51.100.25:18789,198.51.100.25:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0279-instance-1,FI,provider-0036,mdns,5353,False,False,0,198.51.100.25,,,,,,,False,,,,,,,,,,,,,
gw-0280,198.51.100.26,280,18789,198.51.100.26:18789,https://198.51.100.26:18789,198.51.100.26:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0280-instance-1,FI,provider-0036,mdns,5353,False,False,0,198.51.100.26,,,,,,,False,,,,,,,,,,,,,
gw-0281,198.51.100.27,281,18789,198.51.100.27:18789,https://198.51.100.27:18789,198.51.100.27:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0281-instance-1,FI,provider-0036,mdns,5353,False,False,0,198.51.100.27,,,,,,,False,,,,,,,,,,,,,
gw-0282,198.51.100.28,282,18789,198.51.100.28:18789,https://198.51.100.28:18789,198.51.100.28:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0282-instance-1,FR,provider-0058,mdns,5353,False,False,0,198.51.100.28,,,,,,,False,,,,,,,,,,,,,
gw-0283,198.51.100.29,283,18789,198.51.100.29:18789,https://198.51.100.29:18789,198.51.100.29:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0283-instance-1,FR,provider-0058,mdns,5353,False,False,0,198.51.100.29,,,,,,,False,,,,,,,,,,,,,
gw-0284,198.51.100.30,284,18789,198.51.100.30:18789,https://198.51.100.30:18789,198.51.100.30:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0284-instance-1,FR,provider-0058,mdns,5353,False,False,0,198.51.100.30,,,,,,,False,,,,,,,,,,,,,
gw-0285,198.51.100.31,285,18789,198.51.100.31:18789,https://198.51.100.31:18789,198.51.100.31:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0285-instance-1,NL,provider-0130,mdns,5353,False,False,0,198.51.100.31,,,,,,,False,,,,,,,,,,,,,
gw-0286,198.51.100.32,286,18789,198.51.100.32:18789,https://198.51.100.32:18789,198.51.100.32:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0286-instance-1,JP,provider-0131,mdns,5353,False,False,0,198.51.100.32,,,,,,,False,,,,,,,,,,,,,
gw-0287,198.51.100.33,287,18789,198.51.100.33:18789,https://198.51.100.33:18789,198.51.100.33:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0287-instance-1,US,provider-0132,mdns,5353,False,False,0,198.51.100.33,,,,,,,False,,,,,,,,,,,,,
