anon_id,anon_ip,collection_order,input_target,source,discovery_confidence,discovery_sources,passive_http_title,passive_http_status,shodan_module,shodan_product,shodan_query_id,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature
gw-0224,192.0.2.224,225,192.0.2.224:80,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0225,192.0.2.225,226,192.0.2.225:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0226,192.0.2.226,227,192.0.2.226:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0227,192.0.2.227,228,192.0.2.227:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0228,192.0.2.228,229,192.0.2.228:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0229,192.0.2.229,230,192.0.2.229:12559,shodan,0.82,http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0230,192.0.2.230,231,192.0.2.230:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0231,192.0.2.231,232,192.0.2.231:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0232,192.0.2.232,233,192.0.2.232:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0233,192.0.2.233,234,192.0.2.233:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
