anon_id,anon_ip,active_rank,mode,input_target,probed_base,responsive,has_signal,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature,observation_count,error_count,first_error
gw-0294,198.51.100.40,58,default,198.51.100.40:443,https://198.51.100.40:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0299,198.51.100.45,59,default,198.51.100.45:443,https://198.51.100.45:443,True,False,0.0,0,,0,,0,0,200:1;500:37,38,0,
gw-0306,198.51.100.52,60,default,198.51.100.52:443,https://198.51.100.52:443,True,False,0.8500000000000001,0,,0,,0,0,200:19;404:19,38,0,
gw-0318,198.51.100.64,61,default,198.51.100.64:50001,http://198.51.100.64:50001,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,2,http://198.51.100.64:50001 WS-UPGRADE /ws: timed out
gw-0319,198.51.100.65,62,default,198.51.100.65:50001,http://198.51.100.65:50001,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,2,http://198.51.100.65:50001 WS-UPGRADE /ws: timed out
gw-0327,198.51.100.73,63,default,198.51.100.73:18789,http://198.51.100.73:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://198.51.100.73:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0328,198.51.100.74,64,default,198.51.100.74:80,http://198.51.100.74:80,True,True,0.8500000000000001,1,openclaw_spa_fallback_all_200,1,2026.1.29-beta.1,1,30,101:2;200:36,38,0,
gw-0330,198.51.100.76,65,default,198.51.100.76:18789,http://198.51.100.76:18789,True,False,0.0,0,,0,,0,0,,38,76,https://198.51.100.76:18789 /: timed out
gw-0334,198.51.100.80,66,default,198.51.100.80:443,https://198.51.100.80:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,101:2;200:17;404:19,38,0,
gw-0335,198.51.100.81,67,default,198.51.100.81:80,http://198.51.100.81:80,True,False,0.8500000000000001,0,,0,,0,0,101:2;200:17;404:19,38,1,http://198.51.100.81:80 /: [Errno 54] Connection reset by peer
gw-0340,198.51.100.86,68,default,198.51.100.86:18789,http://198.51.100.86:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://198.51.100.86:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0341,198.51.100.87,69,default,198.51.100.87:80,http://198.51.100.87:80,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,101:2;200:17;404:19,38,0,
gw-0342,198.51.100.88,70,default,198.51.100.88:443,https://198.51.100.88:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0343,198.51.100.89,71,default,198.51.100.89:443,https://198.51.100.89:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
